Id,Name,Size
226,Saluki,Large
227,Samoyed,Medium
228,Schapendoes,Medium
229,Schipperke,Small
230,Scottish deerhound,XLarge
231,Scottish terrier,Small
232,Sealyham terrier,Small
233,Segugio italiano,Medium
234,Shetland sheepdog,Small
235,Shiba inu,Small
236,Shih tzu,Small
237,Shikoku,Medium
238,Siberian husky,Medium
239,Silky terrier,XSmall
240,Skye terrier,Medium
241,Sloughi,Large
242,Slovakian wirehaired pointer,Medium
243,Slovensky cuvac,Large
244,Slovensky kopov,Medium
245,Small munsterlander,Medium
246,Smooth fox terrier,Small
247,Soft coated wheaten terrier,Medium
248,Spanish mastiff,XLarge
249,Spanish water dog,Medium
250,Spinone italiano,Medium
251,Stabyhoun,Medium
252,Staffordshire bull terrier,Medium
253,Standard schnauzer,Medium
254,Sussex spaniel,Medium
255,Swedish lapphund,Medium
256,Swedish vallhund,Small
257,Taiwan dog,Medium
258,Teddy roosevelt terrier,Small
259,Thai ridgeback,Medium
260,Tibetan mastiff,XLarge
261,Tibetan spaniel,Small
262,Tibetan terrier,Small
263,Tornjak,Large
264,Tosa,Large
265,Toy fox terrier,XSmall
266,Transylvanian hound,Medium
267,Treeing tennessee brindle,Medium
268,Treeing walker coonhound,Large
269,Vizsla,Medium
270,Volpino italiano,Medium
271,Weimaraner,Large
272,Welsh springer spaniel,Medium
273,Welsh terrier,Small
274,West highland white terrier,Small
275,Wetterhoun,Medium
276,Whippet,Medium
277,Wire fox terrier,Small
278,Wirehaired pointing griffon,Medium
279,Wirehaired vizsla,Medium
280,Working kelpie,Medium
281,Xoloitzcuintli,Medium
282,Yakutian laika,Medium
283,Mixed breed,XSmall
284,Yorkshire terrier,Large
